topic,problem_statement,solution,correct option
Spatial reasoning,"A sculptor is creating a unique set of sculptures by stacking cubes of the same size. He wants to create a series of sculptures where each new sculpture includes all the cubes from the previous sculpture plus three new cubes. The first sculpture is a single cube. The second sculpture is the first sculpture plus three new cubes arranged so that they form an L-shape when viewed from above. If the sculptor continues this pattern, how many cubes will he require for the fifth sculpture?","Step-by-step reasoning:

1. 1st sculpture has 1 cube.  
2. Each subsequent sculpture adds 3 new cubes to the previous total.  
3. 2nd sculpture: 1 + 3 = 4 cubes.  
4. 3rd sculpture: 4 + 3 = 7 cubes.  
5. 4th sculpture: 7 + 3 = 10 cubes.  
6. 5th sculpture: 10 + 3 = 13 cubes.  

Therefore, the sculptor will require 13 cubes for the fifth sculpture.

CORRECT ANSWER: 2",2
Spatial reasoning,"Imagine a cube that is formed by 27 smaller identical cubes, making it a 3x3x3 cube. If you remove the smaller cube at each of the eight corners, how many of the original 27 smaller cubes will have at least one face exposed?","Step-by-step reasoning:

1. Label the small cubes by coordinates (x,y,z) with x,y,z each ∈{1,2,3}.  
2. The eight corner cubes are those with x,y,z all ∈{1,3}.  We remove those 8 cubes.  
3. That leaves 27−8=19 cubes in place.  Of these 19, only the very center cube (2,2,2) remains completely surrounded on all 6 sides—every other one now has at least one face exposed (either because it sits on an outer layer or it lost a neighboring corner cube).  
4. So among the 19 remaining cubes, 19−1=18 have ≥1 face exposed.  
5. In addition, the 8 corner cubes we removed each “came out” with all faces exposed, so they too count as having at least one face exposed.  
6. Therefore of the original 27 cubes, 18 (remaining exposed) + 8 (removed corners) = 26 cubes have at least one face exposed.  

CORRECT ANSWER: 3",3
Sequence solving,"You are presented with a sequence of numbers: 3, 4, 6, 9, 13, ... What is the next number in the sequence?","1. List the given terms and compute consecutive differences  
   Term 1 (a₁) = 3  
   Term 2 (a₂) = 4 → Difference = 4 − 3 = 1  
   Term 3 (a₃) = 6 → Difference = 6 − 4 = 2  
   Term 4 (a₄) = 9 → Difference = 9 − 6 = 3  
   Term 5 (a₅) = 13 → Difference = 13 − 9 = 4  

2. Observe that the differences form the sequence 1, 2, 3, 4, … which increases by 1 each time.

3. The next difference should be 5.  
   Thus the next term a₆ = a₅ + 5 = 13 + 5 = 18.

CORRECT ANSWER: 1",1
Optimization of actions and planning,"You are the operations manager at a factory producing widgets. You have three machines that can operate independently and simultaneously. Each machine can produce a widget in the following times: Machine A takes 1 minute per widget, Machine B takes 2 minutes per widget, and Machine C takes 3 minutes per widget. However, each machine requires a setup time when you start a production batch: Machine A requires 3 minutes, Machine B requires 4 minutes, and Machine C requires 5 minutes. Once a machine is set up, it can continue to produce widgets without any additional setup time for the rest of the operating day, which is 8 hours. What is the maximum number of widgets you can produce in an 8-hour day, and which machines should you use?","Step‐by‐step reasoning:

1. Total available time per machine = 8 hours = 480 minutes.  
2. For each machine, you must spend its one‐time setup, then use the remaining minutes to produce widgets at its per-widget rate:  
   - Machine A: setup = 3 min ⇒ production time = 480–3 = 477 min. At 1 min/widget ⇒ 477 widgets.  
   - Machine B: setup = 4 min ⇒ production time = 480–4 = 476 min. At 2 min/widget ⇒ ⌊476/2⌋ = 238 widgets.  
   - Machine C: setup = 5 min ⇒ production time = 480–5 = 475 min. At 3 min/widget ⇒ ⌊475/3⌋ = 158 widgets.  
3. Since machines run independently and simultaneously, you should use all three machines.  
4. Total = 477 + 238 + 158 = 873 widgets in 480 minutes.  
5. No listed option matches 873, so it must be “Another answer.”

CORRECT ANSWER: 5",5
Spatial reasoning,"In a mystical land, there are three temples, each on top of a hill. The paths to the temples are such that there’s always a distinct shortest path from any temple to another. One fine morning, an initiate sets off to visit all the temples to pay homage. He observes the following: 1) The path from the first temple to the second is 4 kilometers long. 2) The path from the second temple to the third is 3 kilometers long. 3) The uphill path from the first to the third temple is 5 kilometers long. After paying homage at the third temple, he descends back to the first temple, taking the shortest path. How long is his entire journey?","Step-by-step reasoning:

1. We are given three temples T₁, T₂, T₃ and the pairwise distances along the unique shortest paths:
   - d(T₁,T₂) = 4 km  
   - d(T₂,T₃) = 3 km  
   - d(T₁,T₃) (direct uphill) = 5 km  
2. The initiate’s route is T₁ → T₂ → T₃ → T₁ (returning by the shortest path from T₃ back to T₁).
3. Check possible routes from T₃ back to T₁:
   - Direct path T₃→T₁ has length 5 km.
   - Indirect path T₃→T₂→T₁ has length 3 + 4 = 7 km.
   Since the direct path (5 km) is shorter, he takes that.
4. Total distance traveled = 4 km (T₁→T₂) + 3 km (T₂→T₃) + 5 km (T₃→T₁) = 12 km.

CORRECT ANSWER: 2",2
Logical traps,"Alice, Bob, and Carol are discussing two different numbers. Alice says 'The number I am thinking of is greater than 4.' Bob says 'The number I am thinking of is not the highest.' Carol says 'The number I am thinking of is not the lowest.' All three are thinking of different numbers between 1 and 6, inclusive. If exactly one of them is telling the truth, what number is Carol thinking of?","Let A, B, C be the three numbers Alice, Bob, Carol think of.  We are told

  (i)   A, B, C are all distinct and lie in {1,2,3,4,5,6}.  
  (ii)  Alice’s statement “A>4” is either true or false.  
  (iii) Bob’s statement “B is not the highest of the three” is either true or false.  
  (iv)  Carol’s statement “C is not the lowest of the three” is either true or false.  
  (v)   Exactly one of those three statements is true.

We must find all triples (A,B,C) satisfying (i–v), and then see what values C can take.  If that set of possible C–values does not pin down a unique one among {3,4,5,6}, we must choose “Another answer.”

1)  Case “Alice’s statement is the only true one”  
    – A>4 must hold, while Bob’s and Carol’s must both fail.  
    – Bob’s fails ⇒ B is the highest ⇒ B>max(A,C).  
    – Carol’s fails ⇒ C is the lowest ⇒ C<min(A,B).  
    – Hence C<A<B, with A>4, distinct.  The only way is A=5, B=6, C any of {1,2,3,4}.  
    ⇒ In this case C∈{1,2,3,4}.

2)  Case “Bob’s statement is the only true one”  
    – B not highest must hold, while Alice’s (A>4) fails ⇒ A≤4, and Carol’s fails ⇒ C is the lowest.  
    – So C<min(A,B) and B<max(A,B,C)=A ⇒ B<A, with A≤4.  
    – Checking small A gives exactly 4 solutions:  
         (A,B,C) = (3,2,1), (4,3,1), (4,3,2), (4,2,1).  
    ⇒ C∈{1,2} here.

3)  Case “Carol’s statement is the only true one”  
    – C not lowest holds, while Alice’s fails (A≤4) and Bob’s fails (B is highest).  
    – So B>max(A,C) and C>min(A,B) ⇒ A< … < B with A≤4.  One finds many solutions with C∈{2,3,4,5}.

In none of the three mutually exclusive “exactly‐one‐true” cases is C pinned down to a single value in {3,4,5,6}.  Across all valid scenarios C can be 1,2,3,4 or 5, so there is no unique choice among 3,4,5,6.  

Therefore the correct answer is “Another answer.”  

CORRECT ANSWER: 5",5
Classic riddles,"Two fathers and two sons went fishing. Each of them caught one fish, so they brought home three fishes in total. How is that possible?","Step-by-step reasoning:

1. The riddle says “two fathers and two sons went fishing” and “each of them caught one fish,” yet they brought home only three fish total.  
2. If you try to assume four distinct people (two fathers + two sons), you’d expect four fish, not three.  
3. To reconcile “two fathers and two sons” with only three people, one person must serve as both a father and a son simultaneously.  
4. A three‐generation grouping achieves this:  
   - Grandfather (a father, but not a son in this group)  
   - His son (who is both a son to the grandfather and a father to the grandson)  
   - His grandson (a son, but not a father)  
5. In this trio there are indeed two fathers (grandfather and father) and two sons (father and grandson), yet only three individuals—hence three fish.

CORRECT ANSWER: 3",3
Optimization of actions and planning,"In an online strategy game, you're tasked with building a new base. You start with 100 resources. The following buildings can be built: Barracks cost 30 resources, grants the ability to train soldiers. Supply Depot costs 20 resources, increases your resource capacity by 40. Command Center costs 50 resources, increases resource production by 10 per minute. You also passively gain 10 resources per minute. You cannot exceed your resource capacity, which starts at 100. The goal is to have a Command Center and the ability to train soldiers as quickly as possible. What order should you build your buildings in to achieve this the fastest?","Here’s the detailed reasoning:

1. We start with 100 resources, 100‐point capacity, and +10 r/min passive income.  
2. The only two buildings required to “finish” are:  
   – Barracks (30 r), to be able to train soldiers  
   – Command Center (50 r), to meet the second goal  
3. A Supply Depot (20 r) only raises capacity; since our capacity is already 100 and we need at most 80 to pay for Barracks+Command Center, we never hit the cap. Thus it is never on the critical path to having both required buildings up.  
4. We therefore should spend 80 r immediately on the two required buildings. Any order of those two is effectively instantaneous (assuming no build time). The Supply Depot, if ever built, can be done later without affecting when we achieve “Barracks+Command Center.”  
5. None of the provided sequences that force you to build a Supply Depot before finishing are strictly optimal; the truly fastest “order” is simply “build Barracks and Command Center immediately, skip (or defer) the Supply Depot entirely.”

Because no offered choice (1–4) omits the Supply Depot in the critical path, the correct answer is:

CORRECT ANSWER: 5",5
Spatial reasoning,"You are in a room with no windows and only one door. The room is filled with mirrors on all walls. In the middle of the room stands a statue. You have a laser pointer that can bounce off the mirrors. If you point the laser directly at any wall, the beam will reflect back at you. If you point it at a certain angle, it reflects off the walls indefinitely. Your task is to point the laser in such a way that the beam will hit all four walls and then hit the statue last. How do you position the laser beam?","Here’s how to see it step by step:

1.  Model the mirrored room by “unfolding” it into a grid of reflected copies of the room.  In that picture your laser travels in a straight line across successive copies.  
2.  To make the beam strike all four real walls once before returning to the center statue, your slope (rise/run) must correspond to visiting each of the four sides in turn.  The simplest choice of slope that does this (in lowest‐term rational form with numerator and denominator both odd) is 1 (i.e. a 45° diagonal).  
3.  From your real‐room position, a 45° shot aimed directly into a corner makes the beam in the unfolded picture pass through the centers of four distinct rooms (i.e. hit each of the four walls exactly once) before finally closing back on the central point.  In the actual room this means it bounces off W, N, E, S (in some order) and then returns to strike the statue last.  

None of the other options guarantees visits to all four walls before hitting the statue.  

CORRECT ANSWER: 2",2
Optimization of actions and planning,"Alice has to prepare 3 different types of cookies for an event. The chocolate chip cookies take 15 minutes to prepare and 10 minutes to bake. The sugar cookies take 10 minutes to prepare and 15 minutes to bake. The oatmeal raisin cookies take 12 minutes to prepare and 12 minutes to bake. She has only one oven, which can bake one type of cookies at a time. What is the shortest time in which Alice can prepare and bake all 3 types of cookies?","Here is the detailed reasoning:

1. Model this as a two‐machine flow‐shop scheduling problem  
   – Machine 1 (“prep”) times aᵢ:  
     • Chocolate chip: a₁ = 15  
     • Sugar:           a₂ = 10  
     • Oatmeal raisin:  a₃ = 12  
   – Machine 2 (“bake”) times bᵢ:  
     • Chocolate chip: b₁ = 10  
     • Sugar:           b₂ = 15  
     • Oatmeal raisin:  b₃ = 12  

2. Apply Johnson’s rule:  
   – Partition jobs into  
     S₁ = {i | aᵢ ≤ bᵢ} and S₂ = {i | aᵢ > bᵢ}  
     • Chocolate chip: 15 > 10 ⇒ S₂  
     • Sugar:          10 ≤ 15 ⇒ S₁  
     • Oatmeal:        12 ≤ 12 ⇒ S₁  
   – Sequence S₁ in ascending order of aᵢ, then S₂ in descending order of bᵢ  
     • S₁ sorted by prep time → Sugar (10), then Oatmeal (12)  
     • S₂ sorted by bake time → Chocolate chip (only one)  
   ⇒ Optimal sequence: Sugar → Oatmeal → Chocolate chip  

3. Compute schedule lengths  
   Let C1[j] = completion on prep, C2[j] = completion on bake  
   – Sugar:  
     C1 = 0 + 10 = 10  
     C2 = max(0,10) + 15 = 25  
   – Oatmeal:  
     C1 = 10 + 12 = 22  
     C2 = max(25,22) + 12 = 37  
   – Chocolate chip:  
     C1 = 22 + 15 = 37  
     C2 = max(37,37) + 10 = 47  

Makespan = 47 minutes.

Since 47 is not among options 1–4, the answer is “another answer.”

CORRECT ANSWER: 5",5
Operation of mechanisms,"Four friends are exploring an ancient temple with a complicated door mechanism. The door has four levers, and each lever can be in one of three positions: up, middle, or down. To open the door, the levers have to be in a specific configuration. They found a clue that reads: 'The first lever stands alone in its position. The second and third levers are not in the middle together. The fourth lever is in the opposite position of the second lever. One lever is up, one is in the middle, one is down, and one is lying about its position.' Which lever is lying based on its position in the clue, and what is the correct configuration to open the door?","Here’s the cleanest way to see it:  

Label the four statements S1–S4 as follows (each “lever” making one statement):

 S1 (by Lever 1): “I stand alone in my position.”  
 S2 (by Lever 2): “Levers 2 and 3 are not both in the middle.”  
 S3 (by Lever 3): “Lever 4 is in the position opposite Lever 2 (i.e. Up↔Down).”  
 S4 (by Lever 4): “Among us four, one is Up, one is Middle, one is Down, and exactly one lever is lying.”  

We require exactly one statement false.  Now check each offered configuration:

Option 2:  
 L1=Middle, L2=Down, L3=Up, L4=Up  
– S1 true (L1=Mid and no one else is Mid).  
– S2 true (L2=Down, L3=Up, so certainly not both Middle).  
– S3 true (L2=Down ⇒ L4 should be Up).  
– S4 false (we actually have two Ups, one Mid, one Down ⇒ the “one Up, one Mid, one Down” part fails).  

Thus exactly S4 is false ⇒ exactly one lever (lever 4) is lying. No other option yields exactly one false statement.  

CORRECT ANSWER: 2",2
Sequence solving,"You are given a sequence of numbers: 2, 6, 18, 54. What would be the next number in the sequence if the pattern continues?","1. Observe the given sequence: 2, 6, 18, 54.  
2. Compute ratios between successive terms:  
   • 6 ÷ 2 = 3  
   • 18 ÷ 6 = 3  
   • 54 ÷ 18 = 3  
3. The pattern is “multiply the previous term by 3.”  
4. Apply that rule to the last term: 54 × 3 = 162.  

CORRECT ANSWER: 3",3
Spatial reasoning,"There is a cube with edges of length 4 units. It is fully painted on all sides and then divided into smaller cubes of 1 unit edge each. Without any of the cubes being removed, a single straight cut is made through the cube. What is the maximum number of smaller cubes that can have paint on exactly one side now visble as a result of this cut?","My interpretation is that the only way to get full unit‐squares of original paint showing on the newly‐cut face is to slice along planes that coincide with the little–cube faces, and the best you can do is to cut parallel to one of the big‐cube’s faces, one layer in.  That cuts right through the “second” layer of small cubes, exposing exactly one painted face on each of those 4×4=16 cubes—and no tilted cut can expose more full painted unit‐squares.  

Hence the maximum number of 1×1 painted faces revealed on that single straight cut is 16, coming from 16 small cubes each showing exactly one painted side.  

CORRECT ANSWER: 1",1
Sequence solving,"Fill in the blank: 1, 4, 9, 16, 25, __. Find the next number in the sequence.","1. Observe the given terms:  
   1, 4, 9, 16, 25  
2. Recognize these as perfect squares:  
   1 = 1²  
   4 = 2²  
   9 = 3²  
   16 = 4²  
   25 = 5²  
3. The pattern is n² for n = 1, 2, 3, 4, 5.  
4. The next term corresponds to 6² = 36.  

CORRECT ANSWER: 2",2
Spatial reasoning,"You are in a room with 4 doors, each facing the cardinal directions: North, East, South, and West. Each door leads to a room that looks identical to the first, with its own 4 doors also facing the cardinal directions. You start by facing North and walk into the North door. In the second room, you face East and walk through the East door. In the third room, you face South and walk through the South door. Finally, in the fourth room, you turn to face West and walk through the West door. In which direction are you facing now in the fifth room?","Step‐by‐step reasoning:

1. In Room 1 you start facing North. You walk straight through the North door → you enter Room 2 still facing North.  
2. In Room 2 you turn to face East, then go through the East door → you enter Room 3 facing East.  
3. In Room 3 you turn to face South, then go through the South door → you enter Room 4 facing South.  
4. In Room 4 you turn to face West, then go through the West door → you enter Room 5 facing West.  

You are not instructed to turn again in Room 5, so you remain facing West.

CORRECT ANSWER: 4",4
Lateral thinking,A man is found dead in a field holding a piece of straw. There's nothing else around him except for the straw and the clothes he has on. How did he die?,"Step-by-step reasoning  
1. We’re told the only object with the dead man is a single piece of straw and his clothes—nothing else (no weapon, no disease clues, no bullet holes mentioned).  
2. “Piece of straw” suggests the children’s game of drawing straws to make a random choice.  
3. If he’d drawn the short straw among others, he’d be the one forced to do something dangerous.  
4. A classic lateral‐thinking scenario: a group in a hot-air balloon, too heavy to stay aloft, draw straws; the one with the short straw must jump out to save the rest.  
5. He drew the short straw, jumped from the balloon over that very field, and died on impact—still clutching the useless straw that sealed his fate.  

CORRECT ANSWER: 2",2
Operation of mechanisms,"In a factory, there are three machines A, B, and C that are used to create widgets. Machine A creates a widget every 3 minutes, Machine B every 7 minutes, and Machine C every 11 minutes. If all machines are turned on at the same time, how many minutes will pass before all three machines dispense a widget at the same minute for the first time?","Step-by-step reasoning:

1. We want the first time \(T>0\) such that
   \[
     T \equiv 0 \pmod{3},\quad
     T \equiv 0 \pmod{7},\quad
     T \equiv 0 \pmod{11}.
   \]
2. Since 3, 7, and 11 are pairwise coprime, their least common multiple is
   \[
     \mathrm{lcm}(3,7,11) = 3 \times 7 \times 11 = 231.
   \]
3. Therefore, the first time all three machines dispense together again is 231 minutes.

CORRECT ANSWER: 2",2
Operation of mechanisms,"You are an engineer tasked with designing a gear system consisting of three gears that will fit in a sequential lineup within a machine. Each gear is required to have a unique number of teeth and must mesh with its neighboring gear(s). Gear A has 28 teeth and must connect with Gear B. Gear B must connect with both Gear A and Gear C. If the total number of teeth across all three gears shouldn't exceed 100 and the gears must have an integer number of teeth, what is the number of teeth on Gear B and Gear C?","Here’s the step‐by‐step reasoning:

1. Gear A has 28 teeth. Let Gear B have B teeth, Gear C have C teeth.  
2. Total‐teeth constraint: 28 + B + C ≤ 100 ⇒ B + C ≤ 72.  
3. All gears must have different (integer) tooth counts.  
4. For smooth, even wear each meshing pair should have no common tooth factors ⇒ gcd(28,B)=1 and gcd(B,C)=1.  
5. Check each answer choice (all of them have B+C=72, so the total hits exactly 100):  
   1) B=29, C=43  
      • gcd(28, 29)=1 (29 is prime, not a divisor of 28)  
      • gcd(29, 43)=1 (both primes, distinct)  
      ✓ Unique counts, meet all criteria.  
   2) B=30, C=42  
      • gcd(28, 30)=2 ≠1 ⇒ fails.  
   3) B=35, C=37  
      • gcd(28, 35)=7 ≠1 ⇒ fails.  
   4) B=32, C=40  
      • gcd(28, 32)=4 ≠1 ⇒ fails.  

Only choice 1 satisfies all conditions.

CORRECT ANSWER: 1",1
Optimization of actions and planning,"You have 12 boxes that look identical and contain identical items, but one box is filled with defective items weighing slightly less than the others. Your task is to determine which box contains the defective items. You have at your disposal a balance scale, which allows you to compare the weight of two sets of boxes against each other. You can only use the scale three times. How would you identify the box with defective items?","Step-by-step reasoning:

1. Goal: find the one lighter box out of 12 using only three balance‐scale weighings. Because we know the odd box is lighter, each weighing gives three possible outcomes (left pan lighter, right pan lighter, or balance), so in three weighings we can distinguish up to 3³ = 27 cases > 12 boxes.

2. First weighing: divide the 12 boxes into three groups of four (call them A, B, C). Weigh A versus B.
   - If A = B, the light box is in C.
   - If A < B, the light box is in A.
   - If A > B, the light box is in B.

   In one weighing we narrow from 12 boxes down to 4.

3. Second weighing: take the 4 suspect boxes (say group X of size 4). Split X into two groups of two: X1 and X2. Weigh X1 versus X2.
   - If X1 = X2, the light box is in the remaining two unweighed boxes.
   - If X1 < X2, it’s in X1.
   - If X1 > X2, it’s in X2.

   Now we have at most 2 candidate boxes.

4. Third weighing: weigh one of those two candidates against the other (or against a known good box). The lighter one is the defective box.

This is exactly “split into three groups, use one weighing to pick the group of four, then subdivide,” i.e. option 3.

CORRECT ANSWER: 3",3
Lateral thinking,"Alice, Bob, and Charlie are trapped on an island with a bridge that can only hold two people at a time. They have one flashlight and, because it's nighttime, the flashlight must be used when crossing the bridge. Alice can cross the bridge in 1 minute, Bob in 2 minutes, and Charlie in 5 minutes. When two people cross together, they must move at the slower person's pace. What is the shortest time in which all three can get across the bridge?","Step‐by‐step reasoning:

1. List individual crossing times:
   - Alice (A): 1 minute  
   - Bob   (B): 2 minutes  
   - Charlie (C): 5 minutes  

2. At most two can cross at once, and they need the flashlight. When two cross, they go at the slower person’s pace.

3. We want to minimize total time. A key insight in these puzzles is to have the fastest person do most of the “returning” with the flashlight.

4. Consider the following sequence:
   a. A and B cross to the far side: takes 2 minutes (they go at B’s speed).  
   b. A returns with the flashlight: takes 1 minute.  
   c. A and C cross to the far side: takes 5 minutes (they go at C’s speed).  

   After step (a): far side has A, B; start side has C  
   After step (b): far side has B; start side has A, C  
   After step (c): far side has A, B, C; start side is empty  

5. Total time = 2 + 1 + 5 = 8 minutes.

No other sequence can beat 8 minutes without leaving someone stranded or adding extra return trips. 

CORRECT ANSWER: 1",1
Operation of mechanisms,"Alice, Bob, and Charlie are three engineers designing a cog-based mechanism for a clock. The mechanism includes three cogs that have to engage with each other without slipping. Cog A has 36 teeth, Cog B has 48 teeth, and Cog C has 60 teeth. If they design the mechanism for Cog A to make 10 full rotations, how many complete rotations will Cog C make in the same time, assuming there is no slippage and they rotate at a constant rate?","1. Step-by-step reasoning  
   a. When two gears mesh without slipping, their angular velocities are inversely proportional to their tooth counts.  
   b. Cog A (36 teeth) drives Cog B (48 teeth).  
      – Ratio of rotations: ω_B = ω_A × (N_A / N_B) = ω_A × (36 / 48) = ω_A × (3/4).  
   c. Cog B (48 teeth) then drives Cog C (60 teeth).  
      – Ratio of rotations: ω_C = ω_B × (N_B / N_C) = ω_B × (48 / 60) = ω_B × (4/5).  
   d. Combine the two stages:  
      ω_C = ω_A × (3/4) × (4/5) = ω_A × (3/5).  
   e. If Cog A makes 10 full rotations, Cog C makes  
      10 × (3/5) = 6 full rotations.  

CORRECT ANSWER: 2",2
Classic riddles,"I have keys but no locks. I have space but no room. You can enter, but you can't go outside. What am I?","Step-by-step reasoning:
1. “I have keys but no locks.”  
   - A keyboard has keys (letters, numbers, function keys) but no physical locks.  
2. “I have space but no room.”  
   - A keyboard has a Space bar (space) but no rooms.  
3. “You can enter, but you can’t go outside.”  
   - A keyboard has an Enter key, but there’s no key labeled “Outside” or “Exit” for you to physically go outside.

Putting it all together, the object described is a keyboard.

CORRECT ANSWER: 2",2
Optimization of actions and planning,"Alice, Bob, and Charlie are three friends who decide to paint a room together. They find that Alice can paint the room completely by herself in 5 hours, Bob can do it in 6 hours, and Charlie in 8 hours. They start painting together at the same pace they normally would by themselves, but after 2 hours, Charlie has to leave. How much time, in hours, will it take for Alice and Bob to finish painting the room after Charlie leaves?","1. Compute individual rates (rooms per hour):  
   Alice: 1/5  
   Bob:   1/6  
   Charlie: 1/8  

2. Their combined rate for the first 2 hours is  
   1/5 + 1/6 + 1/8 = (24 + 20 + 15)/120 = 59/120 room per hour.  

3. In 2 hours they paint  
   (59/120)×2 = 59/60 of the room.  

4. Remaining work = 1 − 59/60 = 1/60 of the room.  

5. After Charlie leaves, Alice + Bob rate = 1/5 + 1/6 = (6 + 5)/30 = 11/30 room per hour.  

6. Time to finish the remaining 1/60 room = (1/60) ÷ (11/30) = (1/60)×(30/11) = 1/22 hour ≈ 0.04545 hour ≈ 2.73 minutes.  

That is not among options 1–4.  

CORRECT ANSWER: 5",5
Optimization of actions and planning,"In a tiny village, the baker, the butcher, and the candlestick maker are the only three shops that deliver their goods. They use a shared delivery boy who can carry only one type of goods per trip. Every morning, each shop sends out one type of good: bread, meat, or candles. The delivery boy is paid per trip, so he wants to minimize the number of trips while still delivering every good once. Unfortunately, the baker and the butcher's goods spoil after 3 trips, while the candles are fine no matter how many trips are made. Given that he delivers goods in the pattern B-B-C-M (Baker, Butcher, Candlestick maker, then Meat from the Butcher again), how should he plan his delivery route to minimize his trips and not spoil any goods?","Step‐by‐step reasoning:

1.  What must be delivered?  In the order the houses lie on the road (or in the “pattern”), there are two bread stops (B, B), then one candle stop (C), then one meat stop (M).  
2.  Trip constraints:  
    – He can load only one type of good per outing.  
    – Bread and meat go bad if they sit more than three of his round‐trips undelivered; candles never spoil.  
    – He’s paid per trip, so wants as few trips as possible.  
3.  Can he combine the two breads?  Yes.  On trip 1 he loads bread once, goes past the first B‐house, drops one loaf, continues to the second B‐house, drops the second loaf, then returns.  That takes care of both B stops in a single trip.  (No spoilage, since bread is delivered immediately on that same trip.)  
4.  Next he must serve the single candle customer.  On trip 2 he loads candles, goes to the C‐house, delivers, and returns.  (Candles won’t spoil, so timing doesn’t matter.)  
5.  Finally the meat customer.  On trip 3 he loads meat, goes out to the M‐house, delivers, and returns.  Because meat only needed for one stop here, he delivers immediately, so there’s no spoilage.  
6.  That covers B–B–C–M in only three trips, which is clearly minimal (you can’t mix types in one trip, so you need at least one trip for each type).  

Answer choice 4, “B–C–M,” is exactly that three‐trip plan.

CORRECT ANSWER: 4",4
Sequence solving,"Consider the following sequence: 2, 6, 12, 20, _. What number should replace the underscore to continue the sequence correctly?","Step-by-step reasoning:

1. List the given terms: 2, 6, 12, 20, _  
2. Compute successive differences:  
   6 – 2 = 4  
   12 – 6 = 6  
   20 – 12 = 8  
3. Observe that the differences increase by 2 each time (4, 6, 8, …), so the next difference should be 10.  
4. Add this next difference to the last known term:  
   20 + 10 = 30  
5. Recognize this is also the sequence of “pronic” numbers n·(n+1):  
   1·2 = 2, 2·3 = 6, 3·4 = 12, 4·5 = 20, 5·6 = 30  

Thus, the next term is 30, which corresponds to option 2.

CORRECT ANSWER: 2",2
Operation of mechanisms,"You are presented with three machines. Each machine has two input slots and one output slot. The first machine multiplies any two numbers put into its input slots. The second machine adds together any two numbers put into its input slots. The third machine applies a modulus operation of the first input number by the second input number. You have an initial set of cards with numbers [3, 7, 11], and you can use each card only once in any of the machines. Your task is to find a sequence of operations using the machines that will result in an output of 2.","Here’s the reasoning through each proposed sequence:

Option 1:  
– Multiply 3 × 7 = 21  (uses cards 3 and 7)  
– Add 11: 21 + 11 = 32  (uses card 11)  
– Modulus by 3: 32 mod 3 = 2  (would need to reuse card 3)  
Invalid because it reuses the “3”‐card a second time.

Option 2:  
– Add 3 + 7 = 10  (uses 3,7)  
– Modulus by 11: 10 mod 11 = 10  (uses 11)  
– Multiply by 3: 10 × 3 = 30  (reuses 3)  
Fails to yield 2 (and reuses 3).

Option 3:  
– Add 3 + 7 = 10  (uses 3,7)  
– Modulus 11 by 10: 11 mod 10 = 1  (uses 11)  
– Multiply by 3: 1 × 3 = 3  
– Modulus by 7: 3 mod 7 = 3  
Yields 3 (and would reuse cards).

Option 4:  
– Multiply 11 × 7 = 77  (uses 11,7)  
– Add 3: 77 + 3 = 80  (uses 3)  
– Modulus by 11: 80 mod 11 = 3  (reuses 11)  
Yields 3, not 2 (and reuses 11).

None of (1)–(4) both respects the “each card only once” rule and gives 2.  

A perfectly valid way (using just one machine) is simply:  
Use the modulus machine on inputs 11 and 3 → 11 mod 3 = 2.  

Since none of options 1–4 is both valid under the usage‐once constraint and yields 2, the correct choice is

CORRECT ANSWER: 5",5
Operation of mechanisms,"In a factory, there are three conveyor belts with sensors at their start and end points. Belt A takes 5 minutes to move items from start to end, Belt B takes 3 minutes, and Belt C takes 7 minutes. The factory is designed such that no belt starts moving until the previous belt has deposited an item to it. If Belt A starts with an item, how many minutes in total will pass before the item is deposited at the end of Belt C?","Step-by-step reasoning:

1. Belt A starts with the item at time t=0.  
2. Belt A takes 5 minutes to carry the item to its end. At t=5 min the item arrives at Belt B’s start.  
3. Belt B does not start until the item arrives at t=5 min. Belt B then takes 3 minutes to move it to its end. So at t=5+3=8 min the item arrives at Belt C’s start.  
4. Belt C waits until t=8 min, then takes 7 minutes to carry the item to its end. Thus the item is finally deposited at t=8+7=15 min.

Total time = 15 minutes.

CORRECT ANSWER: 3",3
Optimization of actions and planning,"You have 12 hours to prepare an important report. The report will take 10 hours to write. However, after every 2 hours of work, you need a break that lasts exactly 30 minutes to stay productive. If you start working at 8 am, what is the latest time you can take your first break and still complete the report on time?","Step-by-step reasoning:

1. You have 12 hours total (8 am–8 pm) to get 10 hours of writing done.
2. A break is required after every 2 hours of continuous work, and each break is exactly 30 minutes.
3. To accumulate 10 hours of work, you need five 2-hour work blocks. Breaks are only required between those blocks, not after the last one—so you take four 30-minute breaks in total.
4. Total time = 10 hours writing + 4 × 0.5 hour breaks = 10 + 2 = 12 hours. That exactly fills the 8 am–8 pm window.
5. Hence the first break must come immediately after the first 2-hour block, i.e. 8 am + 2 hours = 10:00 am.

CORRECT ANSWER: 2",2
